lesson id,lesson name,course id
1,Программирование на Python,1
2,Знакомство с языком C#: синтаксис и основные концепции,2
3,Что такое система управления базами данных?,4
4,Основы цифрового маркетинга: что это и зачем нужно?,5
5,История и принципы работы поисковых систем,6
6,Понятие машинного обучения: виды алгоритмов и применение,7
7,Введение в анализ данных: цели и задачи,8
8,Личный бренд: определение и важность,9
9,Планирование интернет-магазина: бизнес-модель и целевая аудитория,10
10,Введение в мобильную разработку: обзор платформ и инструментов,3
11,"Условные операторы и циклы: if/else, for, while.
",1
12,"Функции и модули: определение функций, импорт модулей.",1
13,"Основы языка C#: синтаксис, работа с консолью, ввод-вывод данных.",2
14,"Исключения и обработка ошибок: try-catch, finally.",2
15,"Хранение данных: SQLite, Room, SharedPreferences.",3
16,"Асинхронное программирование: потоки, асинхронные задачи.",3
17,Транзакции и блокировки: управление параллельным доступом.,4
18,"Индексы и производительность: создание индексов, оптимизация запросов.",4
19,"Веб-аналитика: Google Analytics, Яндекс.Метрика, анализ трафика.",5
20,"Контент-маркетинг: блоги, статьи, инфографики, видео.",5
21,"Внешняя оптимизация: линкбилдинг, гостевые посты, обратные ссылки.",6
22,"Локальное SEO: карты, отзывы, местные каталоги.",6
23,"Метрики оценки моделей: точность, полнота, F1-score.",7
24,"Обучение модели: градиентный спуск, кросс-валидация.",7
25,"Статистический анализ: средние значения, дисперсия, корреляция.",8
26,"Прогнозирование временных рядов: методы прогнозирования, ARIMA.",8
27,"Взаимодействие с подписчиками: ответы на комментарии, прямые эфиры.",9
28,"Монетизация: партнерские программы, спонсорство, продажи товаров и услуг.",9
29,"Логистика и доставка: выбор курьерской службы, отслеживание посылок.",10
30,"Поддержка клиентов: служба поддержки, FAQ, чат-боты.",10
